TIPO;PAIS;REGION;CIUDAD;CATEGORIA;NOMBRE;XML URL;HTML URL
 Medios;Argentina ;Buenos Aires;La Plata;Econom°a;Diario El D°a;http://www.eldia.com.ar/rss/rss.aspx?ids=6;www.eldia.com.ar
 Medios;Argentina ;Buenos Aires;La Plata;Sociales;Diario El D°a;http://www.eldia.com.ar/rss/rss.aspx?ids=19;www.eldia.com.ar
 Medios;Argentina ;Buenos Aires;La Plata;Internacionales;Diario El D°a;http://www.eldia.com.ar/rss/rss.aspx?ids=4;www.eldia.com.ar
 Medios;Argentina ;Buenos Aires;La Plata;Nacionales;Diario El D°a;http://www.eldia.com.ar/rss/rss.aspx?ids=3;www.eldia.com.ar
 Medios;Argentina ;Buenos Aires;La Plata;Espect†culos y Cultura;Diario El D°a;http://www.eldia.com.ar/rss/rss.aspx?ids=7;www.eldia.com.ar
 Medios;Argentina ;Buenos Aires;La Plata;No Categorizado;Diario El D°a;http://www.eldia.com.ar/rss/rss.aspx?ids=1;www.eldia.com.ar
 Medios;Argentina ;Buenos Aires;La Plata;Espect†culos y Cultura;Diario El D°a;http://www.eldia.com.ar/rss/rss.aspx?ids=21;www.eldia.com.ar
 Medios;Argentina ;Buenos Aires;La Plata;No Categorizado;Diario El D°a;http://www.eldia.com.ar/rss/rss.aspx?ids=2;www.eldia.com.ar
 Medios;Argentina ;Buenos Aires;La Plata;No Categorizado;Diario HOY;http://www.diariohoy.net/rss/index.php;www.diariohoy.net
 Medios;Argentina ;Buenos Aires;La Plata;Espect†culos y Cultura;Diario El D°a;http://www.eldia.com.ar/rss/rss.aspx?ids=22;www.eldia.com.ar
 Medios;Argentina ;Buenos Aires;La Plata;Deportes;Diario El D°a;http://www.eldia.com.ar/rss/rss.aspx?ids=23;www.eldia.com.ar
 Medios;Argentina ;Buenos Aires;La Plata;Sociales;Diario El D°a;http://www.eldia.com.ar/rss/rss.aspx?ids=5;www.eldia.com.ar
 Medios;Argentina ;Buenos Aires;La Plata;Deportes;Diario El D°a;http://www.eldia.com.ar/rss/rss.aspx?ids=42;www.eldia.com.ar
 Medios;Argentina ;Buenos Aires;La Plata;No Categorizado;Diagonales;http://www.elargentino.com/Highlights.aspx?ParentType=Section&ParentId=122&Content-Type=text/xml&ChannelDesc=Diagonales;www.elargentino.com
 Medios;Argentina ;Buenos Aires;Lujan;No Categorizado;EL DIARIO DE LUJAN;http://www.diariodelujan.com/index.php?format=feed&type=rss;www.diariodelujan.com
 Medios;Argentina ;Buenos Aires;Mar del Plata;Deportes;Deporte Marplatense;http://www.deportemarplatense.com/feed/;www.deportemarplatense.com
 Medios;Argentina ;Buenos Aires;Mar del Plata;Internacionales;Lacapitalmdp.com;http://www.lacapitalmdp.com/rss/rss_categoria.php?codigo=3;www.lacapitalmdp.com
 Medios;Argentina ;Buenos Aires;Mar del Plata;Nacionales;Lacapitalmdp.com;http://www.lacapitalmdp.com/rss/rss_categoria.php?codigo=2;www.lacapitalmdp.com
 Medios;Argentina ;Buenos Aires;Mar del Plata;Espect†culos y Cultura;Lacapitalmdp.com;http://www.lacapitalmdp.com/rss/rss_categoria.php?codigo=6;www.lacapitalmdp.com
 Medios;Argentina ;Buenos Aires;Mar del Plata;No Categorizado;Lacapitalmdp.com;http://www.lacapitalmdp.com/rss/rss_categoria.php?codigo=1;www.lacapitalmdp.com
 Medios;Argentina ;Buenos Aires;Mar del Plata;No Categorizado;Lacapitalmdp.com;http://www.lacapitalmdp.com/rss/rss_categoria.php?codigo=4;www.lacapitalmdp.com
 Medios;Argentina ;Buenos Aires;Mar del Plata;No Categorizado;NoticiasyProtagonistas.com;http://www.noticiasyprotagonistas.com/feeds-rss/rss.php;www.noticiasyprotagonistas.com
 Medios;Argentina ;Buenos Aires;Mar del Plata;No Categorizado;PuntoNoticias.com;http://feeds.feedburner.com/Puntonoticiascom-NoticasDeMarDelPlata;www.puntonoticias.com
 Medios;Argentina ;Buenos Aires;Mercedes;No Categorizado;La Opinion Digital;http://www.laopiniondemercedes.com.ar/index.php?format=feed&type=rss;www.laopiniondemercedes.com.ar
 Medios;Argentina ;Buenos Aires;Mar del Plata;Deportes;Lacapitalmdp.com;http://www.lacapitalmdp.com/rss/rss_categoria.php?codigo=5;www.lacapitalmdp.com
 Medios;Argentina ;Buenos Aires;Mercedes;No Categorizado;Noticias Mercedinas;http://feeds.feedburner.com/noticiasmercedinas?format=xml;www.news.google.com.ar
 Medios;Argentina ;Buenos Aires;Mercedes;No Categorizado;Nuevo Cronista;http://www.nuevocronista.com.ar/index.php?format=feed&type=rss;www.nuevocronista.com.ar
 Medios;Argentina ;Buenos Aires;Mor¢n;No Categorizado;El OTRO LADO;http://www.eolonline.com.ar/home/feed/;www.eolonline.com.ar
 Medios;Argentina ;Buenos Aires;Necochea;No Categorizado;AHORAINFO.com.ar;http://ahorainfo.com.ar/feed/;www.ahorainfo.com.ar
